dataset precision bin_conf bin_acc bin_uncertainty
adult float64 0.0702 0.1233 0.0000
adult float64 0.1495 0.0857 0.0000
adult float64 0.2445 0.1150 0.0000
adult float64 0.3426 0.2609 0.0000
adult float64 0.4541 0.4906 0.0000
adult float64 0.5442 0.5385 0.0000
adult float64 0.6468 0.7193 0.0000
adult float64 0.7583 0.9167 0.0000
adult float64 0.8585 0.8993 0.0000
adult float64 0.9375 0.9548 0.0000
adult float32 0.0702 0.1233 0.0000
adult float32 0.1495 0.0857 0.0000
adult float32 0.2445 0.1150 0.0000
adult float32 0.3426 0.2609 0.0000
adult float32 0.4541 0.4906 0.0000
adult float32 0.5442 0.5385 0.0000
adult float32 0.6468 0.7193 0.0000
adult float32 0.7583 0.9167 0.0000
adult float32 0.8585 0.8993 0.0000
adult float32 0.9375 0.9548 0.0000
adult float16 0.0702 0.1233 0.6712
adult float16 0.1495 0.0857 0.5486
adult float16 0.2445 0.1150 0.6726
adult float16 0.3428 0.2609 0.5942
adult float16 0.4534 0.5000 0.4423
adult float16 0.5435 0.5283 0.3962
adult float16 0.6470 0.7193 0.3158
adult float16 0.7583 0.9167 0.7292
adult float16 0.8584 0.8993 0.8921
adult float16 0.9375 0.9548 0.4977
compas float64 0.3580 0.1471 0.0000
compas float64 0.4471 0.3016 0.0000
compas float64 0.5518 0.4600 0.0000
compas float64 0.6485 0.8364 0.0000
compas float64 0.7511 0.8659 0.0000
compas float64 0.8422 0.8571 0.0000
compas float64 0.9211 1.0000 0.0000
compas float32 0.3580 0.1471 0.0000
compas float32 0.4471 0.3016 0.0000
compas float32 0.5518 0.4600 0.0000
compas float32 0.6485 0.8364 0.0000
compas float32 0.7511 0.8659 0.0000
compas float32 0.8422 0.8571 0.0000
compas float32 0.9211 1.0000 0.0000
compas float16 0.3579 0.1471 0.1863
compas float16 0.4470 0.3016 0.3651
compas float16 0.5518 0.4600 0.4000
compas float16 0.6484 0.8364 0.4727
compas float16 0.7510 0.8659 0.4634
compas float16 0.8423 0.8571 0.8095
compas float16 0.9209 1.0000 1.8333
tabular float64 0.0659 0.0962 0.0000
tabular float64 0.1447 0.1463 0.0000
tabular float64 0.2518 0.1148 0.0000
tabular float64 0.3459 0.3556 0.0000
tabular float64 0.4502 0.3846 0.0000
tabular float64 0.5547 0.5854 0.0000
tabular float64 0.6480 0.7302 0.0000
tabular float64 0.7458 0.8226 0.0000
tabular float64 0.8532 0.9375 0.0000
tabular float64 0.9485 0.9560 0.0000
tabular float32 0.0659 0.0962 0.0000
tabular float32 0.1447 0.1463 0.0000
tabular float32 0.2518 0.1148 0.0000
tabular float32 0.3459 0.3556 0.0000
tabular float32 0.4502 0.3846 0.0000
tabular float32 0.5547 0.5854 0.0000
tabular float32 0.6480 0.7302 0.0000
tabular float32 0.7458 0.8226 0.0000
tabular float32 0.8532 0.9375 0.0000
tabular float32 0.9485 0.9560 0.0000
tabular float16 0.0660 0.0962 0.6731
tabular float16 0.1448 0.1463 0.6585
tabular float16 0.2520 0.1148 0.6066
tabular float16 0.3459 0.3556 0.5778
tabular float16 0.4502 0.3846 0.4103
tabular float16 0.5547 0.5854 0.5610
tabular float16 0.6479 0.7302 0.4762
tabular float16 0.7456 0.8226 0.5323
tabular float16 0.8530 0.9375 0.7656
tabular float16 0.9482 0.9560 0.4615
