epoch,train_loss,train_acc,test_acc,fc1_kappa,fc2_kappa,fc3_kappa,fc1_bits,fc2_bits,fc3_bits
0,2.28948,0.19,0.19,0.450322,0.489634,0.356202,25.4245,25.5452,25.0862
1,2.26297,0.2275,0.215,0.450429,0.489862,0.35682,25.4248,25.5459,25.0887
2,2.23306,0.3055,0.3025,0.450589,0.490174,0.358363,25.4253,25.5468,25.0949
3,2.19468,0.4175,0.425,0.450854,0.490729,0.361574,25.4262,25.5484,25.1078
4,2.14463,0.416,0.42,0.451378,0.491849,0.368711,25.4278,25.5517,25.136
5,2.0833,0.408,0.4,0.453167,0.494132,0.384981,25.4335,25.5584,25.1983
6,2.01674,0.403,0.4,0.46129,0.498394,0.407017,25.4592,25.5708,25.2786
7,1.95416,0.401,0.4,0.471929,0.504822,0.428851,25.4921,25.5893,25.354
8,1.89995,0.4,0.4,0.481719,0.512354,0.448671,25.5217,25.6106,25.4192
9,1.8529,0.4,0.4,0.490063,0.519818,0.466219,25.5465,25.6315,25.4745
