layer,step,kappa_curv,spectral_norm_hessian,lipschitz_constant,gradient_norm,condition_number,timestamp_ms
layer4,0,0.135683,0.271366,0.960427,0.271366,0.960427,1350451882
layer4,1,0.10451,0.20902,0.957292,0.20902,0.957292,1350451896
layer4,2,0.146476,0.292953,0.957075,0.292953,0.957075,1350451898
layer4,3,0.107113,0.214227,0.955532,0.214227,0.955532,1350451899
layer4,4,0.127265,0.254529,0.954192,0.254529,0.954192,1350451901
layer4,5,0.0985122,0.197024,0.953123,0.197024,0.953123,1350451902
layer4,6,0.0869159,0.173832,0.951884,0.173832,0.951884,1350451904
layer4,7,0.102461,0.204922,0.950334,0.204922,0.950334,1350451905
layer4,8,0.155846,0.311691,0.949856,0.311691,0.949856,1350451907
layer4,9,0.0961979,0.192396,0.948494,0.192396,0.948494,1350451909
layer4,10,0.129662,0.259323,0.947261,0.259323,0.947261,1350451910
layer4,11,0.102585,0.20517,0.946281,0.20517,0.946281,1350451912
layer4,12,0.143893,0.287786,0.945117,0.287786,0.945117,1350451913
layer4,13,0.113461,0.226923,0.944678,0.226923,0.944678,1350451915
layer4,14,0.137554,0.275108,0.944236,0.275108,0.944236,1350451916
layer4,15,0.0981428,0.196286,0.943689,0.196286,0.943689,1350451918
layer4,16,0.139695,0.27939,0.943192,0.27939,0.943192,1350451919
layer4,17,0.122674,0.245347,0.942673,0.245347,0.942673,1350451921
layer4,18,0.124156,0.248312,0.942334,0.248312,0.942334,1350451922
layer4,19,0.0789738,0.157948,0.941983,0.157948,0.941983,1350451924
layer4,20,0.137839,0.275677,0.941742,0.275677,0.941742,1350451925
layer4,21,0.155356,0.310711,0.941508,0.310711,0.941508,1350451927
layer4,22,0.0866582,0.173316,0.94153,0.173316,0.94153,1350451928
layer4,23,0.122871,0.245743,0.941542,0.245743,0.941542,1350451930
layer4,24,0.156568,0.313136,0.941504,0.313136,0.941504,1350451931
layer4,25,0.101936,0.203872,0.941523,0.203872,0.941523,1350451933
layer4,26,0.128394,0.256788,0.9414,0.256788,0.9414,1350451934
layer4,27,0.165376,0.330753,0.941109,0.330753,0.941109,1350451936
layer4,28,0.1146,0.229201,0.941408,0.229201,0.941408,1350451937
layer4,29,0.135485,0.270971,0.9415,0.270971,0.9415,1350451939
layer4,30,0.106197,0.212395,0.939668,0.212395,0.939668,1350451940
layer4,31,0.130343,0.260687,0.941555,0.260687,0.941555,1350451942
layer4,32,0.137924,0.275848,0.941287,0.275848,0.941287,1350451943
layer4,33,0.116486,0.232971,0.941582,0.232971,0.941582,1350451945
