dataset threshold dpg error_bound stable
adult 0.1000 0.025519 0.000000 0
adult 0.1250 0.021292 0.000000 1
adult 0.1500 0.029745 0.000000 1
adult 0.1750 0.008229 0.000000 1
adult 0.2000 0.004098 0.000000 1
adult 0.2250 0.005635 0.000000 1
adult 0.2500 0.003074 0.000000 1
adult 0.2750 0.000224 0.000000 1
adult 0.3000 0.007332 0.000000 1
adult 0.3250 0.006340 0.000000 1
adult 0.3500 0.001345 0.000000 1
adult 0.3750 0.001889 0.000000 1
adult 0.4000 0.011367 0.000000 1
adult 0.4250 0.014793 0.000000 1
adult 0.4500 0.026319 0.000000 1
adult 0.4750 0.037558 0.000000 1
adult 0.5000 0.030834 0.000000 1
adult 0.5250 0.022253 0.000000 1
adult 0.5500 0.015241 0.000000 1
adult 0.5750 0.014953 0.000000 1
adult 0.6000 0.028336 0.000000 1
adult 0.6250 0.027664 0.000000 1
adult 0.6500 0.022701 0.000000 1
adult 0.6750 0.022317 0.000000 1
adult 0.7000 0.023598 0.000000 1
adult 0.7250 0.027312 0.000000 1
adult 0.7500 0.026639 0.000000 1
adult 0.7750 0.030065 0.000000 1
adult 0.8000 0.037301 0.000000 1
adult 0.8250 0.022189 0.000000 1
adult 0.8500 0.018795 0.000000 1
adult 0.8750 0.010950 0.000000 1
adult 0.9000 0.015401 0.000000 0
compas 0.1000 0.000000 0.000000 0
compas 0.1250 0.000000 0.000000 1
compas 0.1500 0.000000 0.000000 1
compas 0.1750 0.000000 0.000000 1
compas 0.2000 0.000000 0.000000 1
compas 0.2250 0.000000 0.000000 1
compas 0.2500 0.000000 0.000000 1
compas 0.2750 0.000000 0.000000 1
compas 0.3000 0.000000 0.000000 1
compas 0.3250 0.026010 0.000000 1
compas 0.3500 0.002346 0.000000 1
compas 0.3750 0.022338 0.000000 1
compas 0.4000 0.029172 0.000000 1
compas 0.4250 0.001734 0.000000 1
compas 0.4500 0.037332 0.000000 1
compas 0.4750 0.037128 0.000000 1
compas 0.5000 0.010710 0.000000 1
compas 0.5250 0.006222 0.000000 1
compas 0.5500 0.000204 0.000000 1
compas 0.5750 0.011730 0.000000 1
compas 0.6000 0.005610 0.000000 1
compas 0.6250 0.005406 0.000000 1
compas 0.6500 0.027030 0.000000 1
compas 0.6750 0.044370 0.000000 1
compas 0.7000 0.039780 0.000000 1
compas 0.7250 0.042432 0.000000 1
compas 0.7500 0.046512 0.000000 1
compas 0.7750 0.047634 0.000000 1
compas 0.8000 0.047328 0.000000 1
compas 0.8250 0.052938 0.000000 1
compas 0.8500 0.035292 0.000000 1
compas 0.8750 0.020604 0.000000 1
compas 0.9000 0.016116 0.000000 0
tabular 0.1000 0.022315 0.000000 0
tabular 0.1250 0.020270 0.000000 1
tabular 0.1500 0.017692 0.000000 1
tabular 0.1750 0.025249 0.000000 1
tabular 0.2000 0.012624 0.000000 1
tabular 0.2250 0.006579 0.000000 1
tabular 0.2500 0.024004 0.000000 1
tabular 0.2750 0.041252 0.000000 1
tabular 0.3000 0.025338 0.000000 1
tabular 0.3250 0.045964 0.000000 1
tabular 0.3500 0.043208 0.000000 1
tabular 0.3750 0.046853 0.000000 1
tabular 0.4000 0.037340 0.000000 1
tabular 0.4250 0.044452 0.000000 1
tabular 0.4500 0.051565 0.000000 1
tabular 0.4750 0.068634 0.000000 1
tabular 0.5000 0.075747 0.000000 1
tabular 0.5250 0.096106 0.000000 1
tabular 0.5500 0.099840 0.000000 1
tabular 0.5750 0.097084 0.000000 1
tabular 0.6000 0.100907 0.000000 1
tabular 0.6250 0.088371 0.000000 1
tabular 0.6500 0.082415 0.000000 1
tabular 0.6750 0.076280 0.000000 1
tabular 0.7000 0.067034 0.000000 1
tabular 0.7250 0.064456 0.000000 1
tabular 0.7500 0.061967 0.000000 1
tabular 0.7750 0.069257 0.000000 1
tabular 0.8000 0.056454 0.000000 1
tabular 0.8250 0.047208 0.000000 1
tabular 0.8500 0.041074 0.000000 1
tabular 0.8750 0.028538 0.000000 1
tabular 0.9000 0.039296 0.000000 0
